ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
105560.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.32355,medium,-0.32355,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.32355
105560.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.729959,high,0.729959,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.729959
105560.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.006056,high,-0.006056,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,credit_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.006056
207940.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.007036,low,0.007036,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=0.007036
207940.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.053818,low,-0.053818,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=-0.053818
207940.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.361018,medium,-0.361018,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.361018
207940.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.702645,high,0.702645,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.702645
207940.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.00163,medium,-0.00163,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.00163
AAPL,us_stock,USD,market_beta_sp500,S&P500 beta,positive,1.0541,high,1.0541,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.0541
AAPL,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,0.997283,medium,0.997283,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=0.997283
AAPL,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.674673,high,0.674673,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.674673
AAPL,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.24841,low,-0.24841,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.24841
AAPL,us_stock,USD,stress_response,Stress-period average return,negative,0.001743,medium,-0.001743,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=-0.001743
AMZN,us_stock,USD,market_beta_sp500,S&P500 beta,positive,1.124461,high,1.124461,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.124461
AMZN,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,1.057538,high,1.057538,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=1.057538
AMZN,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.733238,high,0.733238,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.733238
