date,scenario_code,scenario_name,driver_rank,signal_name,signal_label,metric_type,driver_effect,contribution,raw_value,normalized_value,aligned_value,unit_score
2021-10-05,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.037595,-2.640685,-2.640685,0.0
2021-10-05,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.063683,-2.96999,-2.96999,0.0
2021-10-05,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.127371,-0.021559,-1.69828,-1.69828,0.07543
2021-10-06,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.032416,-2.271175,-2.271175,0.0
2021-10-06,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.054392,-2.525719,-2.525719,0.0
2021-10-06,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.127993,-0.022691,-1.706573,-1.706573,0.073357
2021-10-07,soft_landing_goldilocks,Soft Landing / Goldilocks,1,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.042421,-2.069199,-2.069199,0.0
2021-10-07,soft_landing_goldilocks,Soft Landing / Goldilocks,2,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.239882,-0.019855,-1.599216,-1.599216,0.100196
2021-10-07,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.044473,-2.560431,-2.560431,0.0
2021-10-08,soft_landing_goldilocks,Soft Landing / Goldilocks,1,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.241867,-0.03991,-1.934939,-1.934939,0.016265
2021-10-08,soft_landing_goldilocks,Soft Landing / Goldilocks,2,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.193004,-0.013868,-1.286694,-1.286694,0.178327
2021-10-08,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.042722,-2.383278,-2.383278,0.0
2021-10-10,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,offsetting,-0.078759,0.022405,1.050116,-1.050116,0.237471
2021-10-11,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.25742,-0.023506,-1.716134,-1.716134,0.070967
2021-10-11,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.046615,-2.073666,-2.073666,0.0
2021-10-11,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.050906,-2.611739,-2.611739,0.0
2021-10-12,soft_landing_goldilocks,Soft Landing / Goldilocks,1,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.047231,-2.030018,-2.030018,0.0
2021-10-12,soft_landing_goldilocks,Soft Landing / Goldilocks,2,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.231829,-0.020624,-1.545526,-1.545526,0.113618
2021-10-12,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.046239,-2.325959,-2.325959,0.0
2021-10-13,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.259146,-0.025243,-1.727637,-1.727637,0.068091
2021-10-13,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.244774,-0.046689,-1.95819,-1.95819,0.010453
2021-10-13,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.133627,-0.033573,-1.781697,-1.781697,0.054576
2021-10-14,soft_landing_goldilocks,Soft Landing / Goldilocks,1,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.1814,-0.0298,-1.451202,-1.451202,0.137199
2021-10-14,soft_landing_goldilocks,Soft Landing / Goldilocks,2,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.131596,-0.007273,-0.877304,-0.877304,0.280674
2021-10-14,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.108745,-0.025518,-1.449933,-1.449933,0.137517
2021-10-15,soft_landing_goldilocks,Soft Landing / Goldilocks,1,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.118637,-0.011987,-0.949099,-0.949099,0.262725
2021-10-15,soft_landing_goldilocks,Soft Landing / Goldilocks,2,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.109612,-0.02652,-1.461491,-1.461491,0.134627
2021-10-15,soft_landing_goldilocks,Soft Landing / Goldilocks,3,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.012123,0.010127,-0.080817,-0.080817,0.479796
2021-10-17,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.087635,0.000576,-1.16847,1.16847,0.792118
2021-10-18,soft_landing_goldilocks,Soft Landing / Goldilocks,1,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.127629,-0.033936,-1.701714,-1.701714,0.074571
2021-10-18,soft_landing_goldilocks,Soft Landing / Goldilocks,2,spy_ret_20d,SPY 20d return,ret_z,supporting,0.125711,0.030297,0.838072,0.838072,0.709518
2021-10-18,soft_landing_goldilocks,Soft Landing / Goldilocks,3,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.094938,-0.000539,-1.265834,1.265834,0.816458
2021-10-19,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,supporting,0.185665,0.039227,1.237764,1.237764,0.809441
2021-10-19,soft_landing_goldilocks,Soft Landing / Goldilocks,2,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.046442,-2.10878,-2.10878,0.0
2021-10-19,soft_landing_goldilocks,Soft Landing / Goldilocks,3,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.135692,-0.006146,-1.809224,1.809224,0.952306
2021-10-20,soft_landing_goldilocks,Soft Landing / Goldilocks,1,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.058494,-2.467789,-2.467789,0.0
2021-10-20,soft_landing_goldilocks,Soft Landing / Goldilocks,2,spy_ret_20d,SPY 20d return,ret_z,supporting,0.142265,0.03323,0.948435,0.948435,0.737109
2021-10-20,soft_landing_goldilocks,Soft Landing / Goldilocks,3,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.127618,-0.005453,-1.701576,1.701576,0.925394
