date,scenario_code,scenario_name,signal_name,signal_label,metric_type,ticker,reference_ticker,lookback_days,weight,direction,raw_value,normalized_value,aligned_value,unit_score,contribution
2022-02-01,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.025586,0.381171,0.381171,0.595293,0.038117
2022-02-01,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.079099,1.257912,1.257912,0.814478,0.062896
2022-02-01,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,-0.025206,-1.375803,-1.375803,0.156049,-0.103185
2022-02-01,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.025565,1.077972,1.077972,0.769493,0.080848
2022-02-01,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,21.959999,0.778062,0.778062,0.694516,0.058355
2022-02-01,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.008739,0.094476,0.094476,0.523619,0.004724
2022-02-01,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,0.042535,2.254741,-2.254741,0.0,-0.1
2022-02-02,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.013619,0.087702,0.087702,0.521926,0.00877
2022-02-02,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.070583,1.066667,1.066667,0.766667,0.053333
2022-02-02,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,-0.005595,-0.285449,-0.285449,0.428638,-0.021409
2022-02-02,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.006199,0.573763,0.573763,0.643441,0.043032
2022-02-02,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,22.09,0.810829,0.810829,0.702707,0.060812
2022-02-02,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.005015,-0.248442,-0.248442,0.43789,-0.012422
2022-02-02,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,0.055309,2.921727,-2.921727,0.0,-0.1
2022-02-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.026673,0.407145,0.407145,0.601786,0.040714
2022-02-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.077545,1.208192,1.208192,0.802048,0.06041
2022-02-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,0.005967,0.3534,0.3534,0.58835,0.026505
2022-02-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.010102,0.671905,0.671905,0.667976,0.050393
2022-02-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,24.35,1.435689,1.435689,0.858922,0.107677
2022-02-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.000592,-0.655711,-0.655711,0.336072,-0.032786
2022-02-03,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,0.035618,1.783541,-1.783541,0.054115,-0.089177
2022-02-04,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.047442,0.915634,0.915634,0.728909,0.091563
2022-02-04,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.076887,1.185374,1.185374,0.796344,0.059269
