date,scenario_code,structured_confidence,structured_coverage,event_overlay_confidence,event_count,overlay_applied,final_confidence,merge_engine_version
2021-09-09,china_trade_fragmentation_shock,56.673001,0.916667,,0,N,56.673001,phase6_final_market_state_v1
2021-09-09,geopolitical_escalation_supply_shock,53.012675,0.95,,0,N,53.012675,phase6_final_market_state_v1
2021-09-09,higher_for_longer_long_rate_shock,54.398174,1.0,,0,N,54.398174,phase6_final_market_state_v1
2021-09-09,korea_domestic_financial_stress,37.363457,0.65,,0,N,37.363457,phase6_final_market_state_v1
2021-09-09,semiconductor_ai_cycle_shock,56.530357,1.0,,0,N,56.530357,phase6_final_market_state_v1
2021-09-09,slowdown_recession_deflation_risk,15.951957,0.25,,0,N,15.951957,phase6_final_market_state_v1
2021-09-09,soft_landing_goldilocks,53.815291,0.869565,,0,N,53.815291,phase6_final_market_state_v1
2021-09-09,stagflation_reinflation_energy_shock,54.429669,1.0,,0,N,54.429669,phase6_final_market_state_v1
2021-09-09,usd_strength_krw_weakness,67.156952,0.956522,,0,N,67.156952,phase6_final_market_state_v1
2021-09-10,acute_global_stress_liquidity_crunch,72.873925,0.916667,,0,N,72.873925,phase6_final_market_state_v1
2021-09-10,china_trade_fragmentation_shock,49.073437,0.791667,,0,N,49.073437,phase6_final_market_state_v1
2021-09-10,geopolitical_escalation_supply_shock,51.619728,0.85,,0,N,51.619728,phase6_final_market_state_v1
2021-09-10,higher_for_longer_long_rate_shock,51.694884,0.88,,0,N,51.694884,phase6_final_market_state_v1
2021-09-10,korea_domestic_financial_stress,29.42753,0.55,,0,N,29.42753,phase6_final_market_state_v1
2021-09-10,semiconductor_ai_cycle_shock,61.258734,0.9,,0,N,61.258734,phase6_final_market_state_v1
2021-09-10,slowdown_recession_deflation_risk,13.627427,0.25,,0,N,13.627427,phase6_final_market_state_v1
2021-09-10,soft_landing_goldilocks,56.879278,0.73913,,0,N,56.879278,phase6_final_market_state_v1
2021-09-10,stagflation_reinflation_energy_shock,53.041652,1.0,,0,N,53.041652,phase6_final_market_state_v1
2021-09-10,usd_strength_krw_weakness,29.171892,0.478261,,0,N,29.171892,phase6_final_market_state_v1
2021-09-12,china_trade_fragmentation_shock,6.600188,0.125,,0,N,6.600188,phase6_final_market_state_v1
2021-09-12,geopolitical_escalation_supply_shock,5.280151,0.1,,0,N,5.280151,phase6_final_market_state_v1
2021-09-12,higher_for_longer_long_rate_shock,6.336181,0.12,,0,N,6.336181,phase6_final_market_state_v1
2021-09-12,korea_domestic_financial_stress,5.280151,0.1,,0,N,5.280151,phase6_final_market_state_v1
2021-09-12,semiconductor_ai_cycle_shock,5.280151,0.1,,0,N,5.280151,phase6_final_market_state_v1
2021-09-12,soft_landing_goldilocks,6.887153,0.130435,,0,N,6.887153,phase6_final_market_state_v1
2021-09-12,usd_strength_krw_weakness,34.433811,0.478261,,0,N,34.433811,phase6_final_market_state_v1
2021-09-13,acute_global_stress_liquidity_crunch,63.095914,0.916667,,0,N,63.095914,phase6_final_market_state_v1
2021-09-13,china_trade_fragmentation_shock,50.945155,0.916667,,0,N,50.945155,phase6_final_market_state_v1
2021-09-13,geopolitical_escalation_supply_shock,59.410637,0.95,,0,N,59.410637,phase6_final_market_state_v1
2021-09-13,higher_for_longer_long_rate_shock,64.47489,1.0,,0,N,64.47489,phase6_final_market_state_v1
2021-09-13,korea_domestic_financial_stress,35.287673,0.65,,0,N,35.287673,phase6_final_market_state_v1
2021-09-13,semiconductor_ai_cycle_shock,72.086429,1.0,,0,N,72.086429,phase6_final_market_state_v1
2021-09-13,slowdown_recession_deflation_risk,14.022624,0.25,,0,N,14.022624,phase6_final_market_state_v1
2021-09-13,soft_landing_goldilocks,65.552763,0.869565,,0,N,65.552763,phase6_final_market_state_v1
2021-09-13,stagflation_reinflation_energy_shock,64.031741,1.0,,0,N,64.031741,phase6_final_market_state_v1
2021-09-13,usd_strength_krw_weakness,63.199035,0.956522,,0,N,63.199035,phase6_final_market_state_v1
2021-09-14,acute_global_stress_liquidity_crunch,69.941633,0.916667,,0,N,69.941633,phase6_final_market_state_v1
2021-09-14,china_trade_fragmentation_shock,54.774684,0.916667,,0,N,54.774684,phase6_final_market_state_v1
